"Koordinatat e për leje , kati -1B Aneksi",,
Nr,x,y
1,7514037.413,4693371.375
2,7514035.617,4693375.949
3,7514008.550,4693365.322
4,7514008.677,4693365.000
5,7514003.930,4693363.136
6,7514005.764,4693358.465
7,7514006.713,4693358.838
8,7514005.452,4693362.049
9,7514009.483,4693363.632
10,7514010.579,4693360.839
11,7514009.692,4693351.252
12,7514011.848,4693345.760
13,7514010.899,4693345.387
14,7514010.990,4693345.154
15,7514042.571,4693357.554
16,7514040.936,4693361.718
17,7514038.164,4693360.629
18,7514037.551,4693362.190
